# ln(t/ts)	g_0302	g_0604	g_1010
-13.45086744	0.359059396	0.359059396	0.359059396
-12.75772026	0.620797805	0.620797805	0.620797805
-12.35225516	0.793365283	0.793365283	0.793365283
-12.06457308	0.921714962	0.921714962	0.921714962
-11.84142953	1.023840277	1.023840277	1.023840277
-11.65910798	1.10862858	1.10862858	1.10862858
-11.5049573	1.181107989	1.181107989	1.181107989
-11.3714259	1.244397364	1.244397364	1.244397364
-11.25364287	1.300563849	1.300563849	1.300563849
-11.14828235	1.351047809	1.351047809	1.351047809
-11.05297217	1.396892908	1.396892908	1.396892908
-10.96596079	1.438879511	1.438879511	1.438879511
-10.88591809	1.477606375	1.477606375	1.477606375
-10.81181011	1.513542935	1.513542935	1.513542935
-10.74281724	1.547064044	1.547064044	1.547064044
-10.67827872	1.57847378	1.57847378	1.57847378
-10.6176541	1.608022208	1.608022208	1.608022208
-10.56049569	1.635917454	1.635917454	1.635917454
-10.50642847	1.662334591	1.662334591	1.662334591
-10.45513517	1.687422279	1.687422279	1.687422279
-10.40634501	1.71130783	1.71130783	1.71130783
-10.35982499	1.734101106	1.734101106	1.734101106
-10.31537323	1.755897567	1.755897567	1.755897567
-10.27281361	1.776780684	1.776780684	1.776780684
-10.23199162	1.796823869	1.796823869	1.796823869
-10.19277091	1.816092022	1.816092022	1.816092022
-10.15503058	1.834642805	1.834642805	1.834642805
-10.11866293	1.852527675	1.852527675	1.852527675
-10.08357161	1.869792744	1.869792744	1.869792744
-10.04967006	1.886479498	1.886479498	1.886479498
-10.01688024	1.902625391	1.902625391	1.902625391
-9.985131542	1.918264353	1.918264353	1.918264353
-9.954359883	1.93342722	1.93342722	1.93342722
-9.92450692	1.948142098	1.948142098	1.948142098
-9.895519383	1.962434674	1.962434674	1.962434674
-9.867348506	1.97632849	1.97632849	1.97632849
-9.839949532	1.98984517	1.98984517	1.98984517
-9.813281285	2.00300463	2.00300463	2.00300463
-9.787305798	2.015825245	2.015825245	2.015825245
-9.76198799	2.028324011	2.028324011	2.028324011
-9.737295378	2.040516675	2.040516675	2.040516675
-9.713197826	2.052417857	2.052417857	2.052417857
-9.689667329	2.064041154	2.064041154	2.064041154
-9.66667781	2.075399233	2.075399233	2.075399233
-9.644204955	2.086503915	2.086503915	2.086503915
-9.622226048	2.097366247	2.097366247	2.097366247
-9.600719843	2.107996571	2.107996571	2.107996571
-9.579666433	2.11840458	2.11840458	2.11840458
-9.538844439	2.138589494	2.138589494	2.138589494
-9.461883398	2.17665748	2.17665748	2.17665748
-9.323733059	2.245031922	2.245031922	2.245031922
-9.094158618	2.358744909	2.358744909	2.358744909
-8.750387079	2.529159356	2.529159356	2.529159356
-8.291812145	2.756578204	2.756578204	2.756578204
-7.740440427	3.029902229	3.029902301	3.029902338
-7.126508482	3.333889271	3.333936912	3.333961688
-6.475453517	3.661730479	3.664156914	3.665424067
-5.804036053	4.055773861	4.082985524	4.097480921
-5.121933402	4.631587529	4.76884826	4.844389647
-4.434354569	5.498706998	5.967347416	6.23744561
-3.744003233	6.685293005	7.972022914	8.78737895
-3.052256912	8.123853541	11.05149251	13.27698441
-2.359810897	9.691657213	15.24274305	20.71029259
-1.667014484	11.26273412	20.20955308	31.86654478
-0.974042734	12.72488919	25.35306937	46.3063547
-0.28098328	13.97163781	30.01439136	61.75678085
0.412120035	14.90697779	33.62762475	75.04777737
1.105245282	15.49751198	35.94805819	84.10260102
1.798381495	15.80742673	37.17655322	89.0511895
2.491523192	15.94669374	37.73108189	91.32231616
3.184667631	16.00298308	37.95572249	92.25022412
3.877813441	16.0243475	38.04108171	92.60433844
