# ln(t/ts)	g_0302	g_0604	g_1010
-13.45086744	0.359059201	0.359059201	0.359059201
-12.75772026	0.620797287	0.620797287	0.620797287
-12.35225516	0.793364411	0.793364411	0.793364411
-12.06457308	0.921713732	0.921713732	0.921713732
-11.84142953	1.023838689	1.023838689	1.023838689
-11.65910798	1.108626636	1.108626636	1.108626636
-11.5049573	1.181105691	1.181105691	1.181105691
-11.3714259	1.244394715	1.244394715	1.244394715
-11.25364287	1.300560851	1.300560851	1.300560851
-11.14828235	1.351044466	1.351044466	1.351044466
-11.05297217	1.396889221	1.396889221	1.396889221
-10.96596079	1.438875484	1.438875484	1.438875484
-10.88591809	1.477602009	1.477602009	1.477602009
-10.81181011	1.513538233	1.513538233	1.513538233
-10.74281724	1.547059008	1.547059008	1.547059008
-10.67827872	1.578468412	1.578468412	1.578468412
-10.6176541	1.608016509	1.608016509	1.608016509
-10.56049569	1.635911427	1.635911427	1.635911427
-10.50642847	1.662328236	1.662328236	1.662328236
-10.45513517	1.687415599	1.687415599	1.687415599
-10.40634501	1.711300827	1.711300827	1.711300827
-10.35982499	1.734093781	1.734093781	1.734093781
-10.31537323	1.755889921	1.755889921	1.755889921
-10.27281361	1.776772719	1.776772719	1.776772719
-10.23199162	1.796815585	1.796815585	1.796815585
-10.19277091	1.816083422	1.816083422	1.816083422
-10.15503058	1.834633889	1.834633889	1.834633889
-10.11866293	1.852518445	1.852518445	1.852518445
-10.08357161	1.869783201	1.869783201	1.869783201
-10.04967006	1.886469643	1.886469643	1.886469643
-10.01688024	1.902615225	1.902615225	1.902615225
-9.985131542	1.918253878	1.918253878	1.918253878
-9.954359883	1.933416436	1.933416436	1.933416436
-9.92450692	1.948131006	1.948131006	1.948131006
-9.895519383	1.962423275	1.962423275	1.962423275
-9.867348506	1.976316785	1.976316785	1.976316785
-9.839949532	1.989833161	1.989833161	1.989833161
-9.813281285	2.002992316	2.002992316	2.002992316
-9.787305798	2.015812628	2.015812628	2.015812628
-9.76198799	2.028311091	2.028311091	2.028311091
-9.737295378	2.040503454	2.040503454	2.040503454
-9.713197826	2.052404335	2.052404335	2.052404335
-9.689667329	2.064027332	2.064027332	2.064027332
-9.66667781	2.075385112	2.075385112	2.075385112
-9.644204955	2.086489495	2.086489495	2.086489495
-9.622226048	2.09735153	2.09735153	2.09735153
-9.600719843	2.107981556	2.107981556	2.107981556
-9.579666433	2.118389268	2.118389268	2.118389268
-9.538844439	2.138573591	2.138573591	2.138573591
-9.461883398	2.176649072	2.176649072	2.176649072
-9.323733059	2.245016426	2.245016426	2.245016426
-9.094158618	2.358727247	2.358727248	2.358727248
-8.750387079	2.529126394	2.529126394	2.529126394
-8.291812145	2.75653129	2.75653129	2.75653129
-7.740440427	3.029820849	3.029820921	3.029820958
-7.126508482	3.333832965	3.333880281	3.333905088
-6.475453517	3.661483455	3.663909021	3.665176228
-5.804036053	4.055263477	4.082458218	4.096947715
-5.121933402	4.630221665	4.76710501	4.84268785
-4.434354569	5.492325429	5.953909144	6.225139214
-3.744003233	6.662073012	7.89777916	8.711985556
-3.052256912	8.064493782	10.77629768	12.91213669
-2.359810897	9.565459244	14.50116876	19.29647507
-1.667014484	11.04062064	18.78069011	28.0499873
-0.974042734	12.36776014	22.97319756	38.07173811
-0.28098328	13.45640358	26.50294568	47.37365431
0.412120035	14.24514927	29.02996465	54.15914172
1.105245282	14.73763898	30.590741	58.27686525
1.798381495	14.99185502	31.38168958	60.28331119
2.491523192	15.10481618	31.72937681	61.14883211
3.184667631	15.15140783	31.87670751	61.53546447
3.877813441	15.16973214	31.93735119	61.71396088
