#z	T_b	T_f1	T_f2	T_f3	T_f4	T_f5	T_f6	T_f7	T_f8
0	2	6	-6	5	-5	4.443405	-2.526146	3.39233	-0.892991
0.25	2	5.997864	-5.993884	4.997275	-4.992248	4.445165	-2.529067	3.393807	-0.896089
0.75	2	5.993594	-5.981666	4.991831	-4.976771	4.448689	-2.534917	3.396763	-0.902298
1.25	2	5.989327	-5.96947	4.986393	-4.961329	4.452215	-2.540778	3.399721	-0.908525
1.75	2	5.985065	-5.957293	4.980961	-4.945923	4.455745	-2.546648	3.402682	-0.914769
2.25	2	5.980805	-5.945137	4.975537	-4.930553	4.459277	-2.552528	3.405644	-0.921031
2.75	2	5.97655	-5.933002	4.970119	-4.915218	4.462813	-2.558419	3.408608	-0.927311
3.25	2	5.972298	-5.920887	4.964707	-4.899918	4.466351	-2.56432	3.411574	-0.933608
3.75	2	5.96805	-5.908792	4.959302	-4.884654	4.469893	-2.57023	3.414542	-0.939923
4.25	2	5.963805	-5.896717	4.953904	-4.869425	4.473437	-2.576151	3.417512	-0.946256
4.75	2	5.959564	-5.884663	4.948513	-4.854232	4.476985	-2.582083	3.420485	-0.952607
5.25	2	5.955326	-5.872628	4.943128	-4.839073	4.480536	-2.588024	3.423459	-0.958975
5.75	2	5.951092	-5.860614	4.93775	-4.82395	4.484089	-2.593975	3.426435	-0.965362
6.25	2	5.946862	-5.84862	4.932378	-4.808861	4.487646	-2.599937	3.429414	-0.971766
6.75	2	5.942635	-5.836647	4.927013	-4.793807	4.491206	-2.605909	3.432394	-0.978188
7.25	2	5.938412	-5.824693	4.921655	-4.778789	4.494769	-2.611891	3.435377	-0.984628
7.75	2	5.934193	-5.812759	4.916303	-4.763805	4.498335	-2.617884	3.438362	-0.991085
8.25	2	5.929977	-5.800845	4.910957	-4.748855	4.501903	-2.623887	3.441348	-0.997561
8.75	2	5.925764	-5.788951	4.905619	-4.733941	4.505475	-2.6299	3.444337	-1.004055
9.25	2	5.921555	-5.777078	4.900286	-4.719061	4.50905	-2.635923	3.447328	-1.010567
9.75	2	5.91735	-5.765224	4.894961	-4.704215	4.512629	-2.641957	3.450321	-1.017097
10.25	2	5.913148	-5.753389	4.889642	-4.689404	4.51621	-2.648001	3.453317	-1.023645
10.75	2	5.90895	-5.741575	4.884329	-4.674627	4.519794	-2.654056	3.456314	-1.030211
11.25	2	5.904755	-5.72978	4.879023	-4.659884	4.523381	-2.660121	3.459314	-1.036795
11.75	2	5.900564	-5.718006	4.873723	-4.645175	4.526972	-2.666196	3.462315	-1.043398
12.25	2	5.896376	-5.706251	4.86843	-4.630501	4.530565	-2.672282	3.465319	-1.050018
12.75	2	5.892192	-5.694515	4.863144	-4.615861	4.534162	-2.678378	3.468325	-1.056657
13.25	2	5.888012	-5.682799	4.857864	-4.601254	4.537761	-2.684485	3.471334	-1.063314
13.75	2	5.883835	-5.671103	4.85259	-4.586682	4.541364	-2.690602	3.474344	-1.06999
14.25	2	5.879661	-5.659427	4.847323	-4.572143	4.54497	-2.69673	3.477357	-1.076683
14.75	2	5.875491	-5.64777	4.842063	-4.557638	4.548578	-2.702868	3.480372	-1.083395
15.25	2	5.871325	-5.636132	4.836809	-4.543167	4.55219	-2.709017	3.483389	-1.090126
15.75	2	5.867162	-5.624514	4.831561	-4.52873	4.555805	-2.715177	3.486408	-1.096875
16.25	2	5.863002	-5.612915	4.82632	-4.514326	4.559424	-2.721347	3.48943	-1.103642
16.75	2	5.858846	-5.601336	4.821085	-4.499955	4.563045	-2.727527	3.492454	-1.110428
17.25	2	5.854694	-5.589776	4.815857	-4.485618	4.566669	-2.733718	3.49548	-1.117232
17.75	2	5.850545	-5.578236	4.810635	-4.471314	4.570297	-2.73992	3.498508	-1.124055
18.25	2	5.846399	-5.566715	4.80542	-4.457044	4.573928	-2.746133	3.501539	-1.130897
18.75	2	5.842257	-5.555213	4.800211	-4.442807	4.577561	-2.752356	3.504572	-1.137757
19.25	2	5.838119	-5.54373	4.795008	-4.428603	4.581198	-2.758589	3.507607	-1.144635
19.75	2	5.833984	-5.532267	4.789812	-4.414432	4.584838	-2.764834	3.510645	-1.151533
20.25	2	5.829852	-5.520822	4.784623	-4.400294	4.588481	-2.771089	3.513685	-1.158449
20.75	2	5.825724	-5.509397	4.779439	-4.386189	4.592128	-2.777355	3.516727	-1.165383
21.25	2	5.821599	-5.497991	4.774262	-4.372116	4.595777	-2.783632	3.519772	-1.172337
21.75	2	5.817478	-5.486604	4.769092	-4.358077	4.59943	-2.78992	3.522819	-1.179309
22.25	2	5.81336	-5.475236	4.763928	-4.34407	4.603085	-2.796218	3.525868	-1.1863
22.75	2	5.809246	-5.463888	4.75877	-4.330096	4.606744	-2.802527	3.52892	-1.19331
23.25	2	5.805135	-5.452558	4.753619	-4.316155	4.610406	-2.808847	3.531974	-1.200339
23.75	2	5.801027	-5.441247	4.748474	-4.302246	4.614071	-2.815178	3.53503	-1.207387
24.25	2	5.796923	-5.429955	4.743335	-4.28837	4.61774	-2.82152	3.538089	-1.214453
24.75	2	5.792823	-5.418682	4.738202	-4.274525	4.621411	-2.827872	3.54115	-1.221539
25.25	2	5.788725	-5.407427	4.733076	-4.260714	4.625086	-2.834236	3.544214	-1.228644
25.75	2	5.784632	-5.396192	4.727957	-4.246934	4.628764	-2.84061	3.54728	-1.235767
26.25	2	5.780541	-5.384975	4.722843	-4.233187	4.632445	-2.846996	3.550348	-1.24291
26.75	2	5.776454	-5.373777	4.717736	-4.219472	4.636129	-2.853392	3.553419	-1.250072
27.25	2	5.772371	-5.362598	4.712635	-4.205789	4.639816	-2.8598	3.556492	-1.257253
27.75	2	5.768291	-5.351437	4.707541	-4.192138	4.643507	-2.866218	3.559568	-1.264453
28.25	2	5.764214	-5.340295	4.702453	-4.178519	4.6472	-2.872647	3.562646	-1.271672
28.75	2	5.76014	-5.329172	4.697371	-4.164932	4.650897	-2.879088	3.565727	-1.278911
29.25	2	5.75607	-5.318068	4.692295	-4.151376	4.654597	-2.885539	3.56881	-1.286169
29.75	2	5.752004	-5.306981	4.687226	-4.137853	4.658301	-2.892002	3.571895	-1.293446
30.25	2	5.747941	-5.295914	4.682163	-4.12436	4.662007	-2.898476	3.574984	-1.300742
30.75	2	5.743881	-5.284865	4.677106	-4.1109	4.665717	-2.904961	3.578074	-1.308058
31.25	2	5.739824	-5.273834	4.672056	-4.097471	4.66943	-2.911457	3.581167	-1.315393
31.75	2	5.735771	-5.262822	4.667011	-4.084074	4.673146	-2.917964	3.584263	-1.322748
32.25	2	5.731721	-5.251828	4.661973	-4.070708	4.676865	-2.924482	3.587361	-1.330122
32.75	2	5.727675	-5.240853	4.656941	-4.057373	4.680588	-2.931012	3.590462	-1.337516
33.25	2	5.723632	-5.229896	4.651916	-4.04407	4.684314	-2.937552	3.593565	-1.344929
33.75	2	5.719592	-5.218957	4.646897	-4.030798	4.688043	-2.944104	3.596671	-1.352362
34.25	2	5.715556	-5.208036	4.641883	-4.017557	4.691775	-2.950667	3.599779	-1.359814
34.75	2	5.711523	-5.197134	4.636876	-4.004347	4.69551	-2.957242	3.60289	-1.367286
35.25	2	5.707493	-5.18625	4.631876	-3.991168	4.699249	-2.963828	3.606004	-1.374777
35.75	2	5.703467	-5.175384	4.626881	-3.97802	4.702991	-2.970425	3.60912	-1.382289
36.25	2	5.699444	-5.164536	4.621893	-3.964903	4.706736	-2.977033	3.612239	-1.38982
36.75	2	5.695424	-5.153707	4.61691	-3.951817	4.710484	-2.983653	3.61536	-1.39737
37.25	2	5.691408	-5.142895	4.611934	-3.938762	4.714236	-2.990284	3.618484	-1.404941
37.75	2	5.687395	-5.132102	4.606964	-3.925737	4.717991	-2.996927	3.621611	-1.412531
38.25	2	5.683385	-5.121326	4.602001	-3.912743	4.721749	-3.003581	3.62474	-1.420142
38.75	2	5.679378	-5.110569	4.597043	-3.89978	4.725511	-3.010246	3.627872	-1.427772
39.25	2	5.675375	-5.09983	4.592092	-3.886847	4.729275	-3.016923	3.631006	-1.435422
39.75	2	5.671375	-5.089108	4.587146	-3.873944	4.733043	-3.023611	3.634143	-1.443092
40.25	2	5.667379	-5.078404	4.582207	-3.861072	4.736814	-3.030311	3.637283	-1.450782
40.75	2	5.663385	-5.067719	4.577274	-3.848231	4.740589	-3.037022	3.640426	-1.458492
41.25	2	5.659395	-5.057051	4.572347	-3.835419	4.744367	-3.043745	3.643571	-1.466223
41.75	2	5.655408	-5.046401	4.567426	-3.822638	4.748148	-3.05048	3.646719	-1.473973
42.25	2	5.651425	-5.035768	4.562512	-3.809887	4.751932	-3.057226	3.649869	-1.481743
42.75	2	5.647445	-5.025154	4.557603	-3.797166	4.75572	-3.063983	3.653023	-1.489534
43.25	2	5.643468	-5.014557	4.552701	-3.784475	4.75951	-3.070752	3.656179	-1.497345
43.75	2	5.639494	-5.003978	4.547804	-3.771814	4.763305	-3.077533	3.659337	-1.505176
44.25	2	5.635523	-4.993416	4.542914	-3.759183	4.767102	-3.084326	3.662499	-1.513028
44.75	2	5.631556	-4.982872	4.538029	-3.746582	4.770903	-3.09113	3.665663	-1.520899
45.25	2	5.627592	-4.972346	4.533151	-3.73401	4.774707	-3.097946	3.66883	-1.528792
45.75	2	5.623631	-4.961837	4.528279	-3.721469	4.778514	-3.104773	3.672	-1.536704
46.25	2	5.619674	-4.951346	4.523413	-3.708957	4.782325	-3.111612	3.675172	-1.544637
46.75	2	5.615719	-4.940872	4.518553	-3.696474	4.786139	-3.118463	3.678347	-1.552591
47.25	2	5.611768	-4.930416	4.513699	-3.684022	4.789956	-3.125326	3.681525	-1.560564
47.75	2	5.60782	-4.919977	4.508851	-3.671598	4.793777	-3.132201	3.684706	-1.568559
48.25	2	5.603876	-4.909556	4.504009	-3.659204	4.797601	-3.139087	3.68789	-1.576574
48.75	2	5.599934	-4.899152	4.499173	-3.64684	4.801428	-3.145985	3.691076	-1.58461
49.25	2	5.595996	-4.888766	4.494343	-3.634504	4.805259	-3.152895	3.694266	-1.592666
49.75	2	5.592061	-4.878396	4.489519	-3.622198	4.809093	-3.159817	3.697458	-1.600743
50.25	2	5.588129	-4.868044	4.484701	-3.609922	4.81293	-3.166751	3.700653	-1.608841
50.75	2	5.5842	-4.85771	4.479888	-3.597674	4.816771	-3.173697	3.703851	-1.616959
51.25	2	5.580274	-4.847392	4.475082	-3.585455	4.820615	-3.180654	3.707051	-1.625099
51.75	2	5.576352	-4.837092	4.470282	-3.573266	4.824462	-3.187624	3.710255	-1.633259
52.25	2	5.572433	-4.826809	4.465488	-3.561105	4.828313	-3.194606	3.713461	-1.64144
52.75	2	5.568517	-4.816543	4.4607	-3.548973	4.832167	-3.201599	3.71667	-1.649642
53.25	2	5.564604	-4.806294	4.455918	-3.53687	4.836024	-3.208605	3.719883	-1.657865
53.75	2	5.560694	-4.796063	4.451142	-3.524796	4.839885	-3.215622	3.723098	-1.666109
54.25	2	5.556788	-4.785848	4.446371	-3.512751	4.843749	-3.222652	3.726316	-1.674374
54.75	2	5.552884	-4.77565	4.441607	-3.500734	4.847616	-3.229694	3.729537	-1.682659
55.25	2	5.548984	-4.76547	4.436849	-3.488746	4.851487	-3.236748	3.73276	-1.690967
55.75	2	5.545087	-4.755306	4.432096	-3.476786	4.855361	-3.243814	3.735987	-1.699295
56.25	2	5.541193	-4.74516	4.427349	-3.464855	4.859239	-3.250892	3.739217	-1.707644
56.75	2	5.537302	-4.73503	4.422609	-3.452952	4.86312	-3.257982	3.742449	-1.716015
57.25	2	5.533414	-4.724917	4.417874	-3.441078	4.867004	-3.265085	3.745685	-1.724407
57.75	2	5.529529	-4.714821	4.413145	-3.429232	4.870892	-3.272199	3.748923	-1.73282
58.25	2	5.525648	-4.704742	4.408422	-3.417414	4.874783	-3.279326	3.752165	-1.741254
58.75	2	5.521769	-4.69468	4.403705	-3.405625	4.878678	-3.286465	3.755409	-1.74971
59.25	2	5.517894	-4.684634	4.398993	-3.393863	4.882576	-3.293617	3.758657	-1.758187
59.75	2	5.514022	-4.674605	4.394288	-3.38213	4.886477	-3.30078	3.761907	-1.766686
60.25	2	5.510153	-4.664593	4.389588	-3.370425	4.890382	-3.307956	3.765161	-1.775206
60.75	2	5.506287	-4.654598	4.384895	-3.358748	4.89429	-3.315145	3.768417	-1.783748
61.25	2	5.502424	-4.644619	4.380207	-3.347098	4.898201	-3.322345	3.771677	-1.792311
61.75	2	5.498564	-4.634657	4.375525	-3.335477	4.902116	-3.329558	3.774939	-1.800896
62.25	2	5.494707	-4.624712	4.370849	-3.323883	4.906035	-3.336784	3.778205	-1.809503
62.75	2	5.490853	-4.614783	4.366178	-3.312317	4.909956	-3.344022	3.781474	-1.818131
63.25	2	5.487002	-4.60487	4.361514	-3.300779	4.913882	-3.351272	3.784745	-1.826781
63.75	2	5.483155	-4.594974	4.356855	-3.289268	4.91781	-3.358535	3.78802	-1.835453
64.25	2	5.47931	-4.585095	4.352202	-3.277785	4.921742	-3.36581	3.791298	-1.844146
64.75	2	5.475468	-4.575232	4.347555	-3.26633	4.925678	-3.373098	3.794579	-1.852861
65.25	2	5.47163	-4.565386	4.342914	-3.254902	4.929617	-3.380398	3.797863	-1.861599
65.75	2	5.467794	-4.555556	4.338278	-3.243501	4.933559	-3.387711	3.80115	-1.870358
66.25	2	5.463962	-4.545742	4.333648	-3.232128	4.937505	-3.395036	3.80444	-1.879139
66.75	2	5.460133	-4.535945	4.329024	-3.220782	4.941454	-3.402374	3.807733	-1.887942
67.25	2	5.456306	-4.526164	4.324406	-3.209464	4.945407	-3.409725	3.81103	-1.896767
67.75	2	5.452483	-4.516399	4.319793	-3.198172	4.949363	-3.417088	3.814329	-1.905614
68.25	2	5.448662	-4.506651	4.315187	-3.186908	4.953323	-3.424464	3.817632	-1.914484
68.75	2	5.444845	-4.496919	4.310586	-3.175671	4.957286	-3.431852	3.820938	-1.923375
69.25	2	5.44103	-4.487203	4.30599	-3.164461	4.961252	-3.439253	3.824247	-1.932289
69.75	2	5.437219	-4.477503	4.301401	-3.153278	4.965222	-3.446667	3.827559	-1.941225
70.25	2	5.433411	-4.467819	4.296817	-3.142121	4.969196	-3.454094	3.830874	-1.950183
70.75	2	5.429605	-4.458152	4.292239	-3.130992	4.973173	-3.461533	3.834193	-1.959164
71.25	2	5.425803	-4.4485	4.287667	-3.11989	4.977153	-3.468986	3.837515	-1.968167
71.75	2	5.422003	-4.438865	4.2831	-3.108814	4.981137	-3.476451	3.84084	-1.977192
72.25	2	5.418207	-4.429246	4.278539	-3.097765	4.985125	-3.483929	3.844168	-1.98624
72.75	2	5.414413	-4.419643	4.273984	-3.086742	4.989116	-3.491419	3.847499	-1.99531
73.25	2	5.410623	-4.410055	4.269434	-3.075747	4.99311	-3.498923	3.850834	-2.004403
73.75	2	5.406835	-4.400484	4.26489	-3.064778	4.997108	-3.506439	3.854171	-2.013519
74.25	2	5.40305	-4.390929	4.260352	-3.053835	5.001109	-3.513969	3.857512	-2.022657
74.75	2	5.399268	-4.381389	4.25582	-3.042919	5.005114	-3.521511	3.860857	-2.031817
75.25	2	5.39549	-4.371866	4.251293	-3.032029	5.009123	-3.529066	3.864204	-2.041001
75.75	2	5.391714	-4.362358	4.246771	-3.021166	5.013134	-3.536635	3.867555	-2.050207
76.25	2	5.387941	-4.352866	4.242256	-3.010328	5.01715	-3.544216	3.870909	-2.059436
76.75	2	5.384171	-4.34339	4.237746	-2.999518	5.021169	-3.55181	3.874266	-2.068688
77.25	2	5.380403	-4.33393	4.233241	-2.988733	5.025191	-3.559418	3.877627	-2.077962
77.75	2	5.376639	-4.324486	4.228743	-2.977974	5.029217	-3.567038	3.880991	-2.08726
78.25	2	5.372878	-4.315057	4.22425	-2.967242	5.033247	-3.574672	3.884358	-2.096581
78.75	2	5.369119	-4.305644	4.219762	-2.956536	5.03728	-3.582318	3.887728	-2.105924
79.25	2	5.365364	-4.296247	4.21528	-2.945855	5.041316	-3.589978	3.891102	-2.115291
79.75	2	5.361611	-4.286865	4.210804	-2.935201	5.045356	-3.597651	3.894479	-2.124681
80.25	2	5.357861	-4.277499	4.206333	-2.924572	5.0494	-3.605337	3.89786	-2.134093
80.75	2	5.354115	-4.268148	4.201868	-2.913969	5.053447	-3.613036	3.901244	-2.143529
81.25	2	5.350371	-4.258813	4.197409	-2.903392	5.057498	-3.620749	3.904631	-2.152989
81.75	2	5.346629	-4.249494	4.192955	-2.892841	5.061552	-3.628475	3.908021	-2.162471
82.25	2	5.342891	-4.24019	4.188506	-2.882316	5.06561	-3.636214	3.911415	-2.171977
82.75	2	5.339156	-4.230902	4.184064	-2.871816	5.069671	-3.643966	3.914812	-2.181506
83.25	2	5.335423	-4.221629	4.179626	-2.861341	5.073736	-3.651732	3.918213	-2.191059
83.75	2	5.331693	-4.212371	4.175195	-2.850893	5.077805	-3.659511	3.921617	-2.200635
84.25	2	5.327966	-4.203129	4.170768	-2.840469	5.081877	-3.667304	3.925024	-2.210234
84.75	2	5.324242	-4.193902	4.166348	-2.830071	5.085952	-3.67511	3.928435	-2.219857
85.25	2	5.320521	-4.184691	4.161933	-2.819699	5.090032	-3.682929	3.93185	-2.229504
85.75	2	5.316803	-4.175495	4.157523	-2.809352	5.094114	-3.690762	3.935267	-2.239174
86.25	2	5.313087	-4.166314	4.153119	-2.79903	5.098201	-3.698608	3.938688	-2.248868
86.75	2	5.309374	-4.157149	4.148721	-2.788733	5.102291	-3.706467	3.942113	-2.258586
87.25	2	5.305664	-4.147999	4.144328	-2.778462	5.106384	-3.714341	3.945541	-2.268327
87.75	2	5.301957	-4.138864	4.13994	-2.768216	5.110481	-3.722227	3.948972	-2.278092
88.25	2	5.298253	-4.129744	4.135558	-2.757994	5.114582	-3.730128	3.952407	-2.287881
88.75	2	5.294551	-4.120639	4.131181	-2.747798	5.118686	-3.738041	3.955846	-2.297694
89.25	2	5.290852	-4.11155	4.12681	-2.737627	5.122794	-3.745969	3.959287	-2.307531
89.75	2	5.287156	-4.102476	4.122445	-2.727481	5.126906	-3.75391	3.962733	-2.317392
90.25	2	5.283463	-4.093417	4.118084	-2.717359	5.131021	-3.761865	3.966182	-2.327276
90.75	2	5.279772	-4.084372	4.11373	-2.707263	5.135139	-3.769833	3.969634	-2.337185
91.25	2	5.276085	-4.075343	4.10938	-2.697191	5.139262	-3.777815	3.97309	-2.347118
91.75	2	5.2724	-4.066329	4.105037	-2.687144	5.143388	-3.785811	3.976549	-2.357076
92.25	2	5.268717	-4.05733	4.100698	-2.677122	5.147517	-3.793821	3.980012	-2.367057
92.75	2	5.265038	-4.048346	4.096365	-2.667124	5.15165	-3.801844	3.983479	-2.377063
93.25	2	5.261361	-4.039377	4.092038	-2.657151	5.155787	-3.809881	3.986949	-2.387093
93.75	2	5.257687	-4.030423	4.087716	-2.647203	5.159928	-3.817932	3.990422	-2.397147
94.25	2	5.254016	-4.021484	4.083399	-2.637279	5.164072	-3.825997	3.993899	-2.407226
94.75	2	5.250347	-4.012559	4.079088	-2.627379	5.168219	-3.834075	3.99738	-2.417329
